Kosten nach Verbesserung: 3.111275572297222E7
Variable Kosten: 12755.722972222138
Anzahl Umlaeufe: 74
Ersparnis: 2.1499600264427774E7
Anzahl Ladestationen: 6
Gesamtverbrauch in kWh: 20324.520499999846
Zeitdauer: 536.3613888888889
Anzahl Servicefahrten: 867

*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
676;3.56130021081E7;79;16
677;3.56130021081E7;79;16
678;3.56130021081E7;79;16
679;3.56130021081E7;79;16
680;3.56130021081E7;79;16
681;3.56130021081E7;79;16
682;3.56130021081E7;79;16
683;3.56130021081E7;79;16
684;3.56130021081E7;79;16
685;3.56130021081E7;79;16
686;3.56130021081E7;79;16
687;3.56130021081E7;79;16
688;3.56130021081E7;79;16
689;3.56130021081E7;79;16
690;3.56130021081E7;79;16
691;3.56130021081E7;79;16
692;3.56130021081E7;79;16
693;3.56130021081E7;79;16
694;3.56130021081E7;79;16
695;3.56130021081E7;79;16
696;3.56130021081E7;79;16
697;3.56130021081E7;79;16
698;3.56130021081E7;79;16
699;3.56130021081E7;79;16
700;3.56130021081E7;79;16
701;3.56130021081E7;79;16
702;3.56130021081E7;79;16
703;3.56130021081E7;79;16
704;3.56130021081E7;79;16
705;3.56130021081E7;79;16
706;3.56130021081E7;79;16
707;3.56130021081E7;79;16
708;3.56130021081E7;79;16
709;3.56130021081E7;79;16
710;3.56130021081E7;79;16
711;3.56130021081E7;79;16
712;3.56130021081E7;79;16
713;3.56130021081E7;79;16
714;3.56130021081E7;79;16
715;3.56130021081E7;79;16
716;3.56130021081E7;79;16
717;3.56130021081E7;79;16
718;3.56130021081E7;79;16
719;3.56130021081E7;79;16
720;3.56130021081E7;79;16
721;3.56130021081E7;79;16
722;3.56130021081E7;79;16
723;3.56130021081E7;79;16
724;3.56130021081E7;79;16
725;3.56130021081E7;79;16
726;3.56130021081E7;79;16
727;3.56130021081E7;79;16
728;3.56130021081E7;79;16
729;3.56130021081E7;79;16
730;3.56130021081E7;79;16
731;3.56130021081E7;79;16
732;3.56130021081E7;79;16
733;3.56130021081E7;79;16
734;3.56130021081E7;79;16
735;3.56130021081E7;79;16
736;3.56130021081E7;79;16
737;3.56130021081E7;79;16
738;3.56130021081E7;79;16
739;3.56130021081E7;79;16
740;3.56130021081E7;79;16
741;3.56130021081E7;79;16
